event_name,location,city,date,event_link
Presentation of Juozas Statkevicius Collection,Litexpo,Vilnius,2016-11-20,https://www.litexpo.lt/en/events/presentation-of-juozas-statkevicius-collection/
LIVE2LEAD: Lietuva,Litexpo,Vilnius,2016-12-01,https://www.litexpo.lt/en/events/live2lead-lietuva/
Brand Out,Litexpo,Vilnius,2017-01-30,https://www.litexpo.lt/en/events/brand-out/
READY TO RUN with 4Active,Litexpo,Vilnius,2017-04-01,https://www.litexpo.lt/en/events/ready-to-run-with-4active/
Atea Action: D1G1T4£ DEM0CR4C¥,Litexpo,Vilnius,2017-09-28,https://www.litexpo.lt/en/events/atea-action-d1g1t4-dem0cr4c%c2%a5/
Lithuanian Gastronomy Forum,Litexpo,Vilnius,2017-11-15,https://www.litexpo.lt/en/events/lithuanian-gastronomy-forum/
LIVE2LEAD: LIETUVA 2017,Litexpo,Vilnius,2017-11-30,https://www.litexpo.lt/en/events/8487/
Vilnius Christmas Fair,Litexpo,Vilnius,2017-12-09,https://www.litexpo.lt/en/events/vilnius-christmas-fair/
ROBOTIADA 2018,Litexpo,Vilnius,2018-03-03,https://www.litexpo.lt/en/events/robotiada-2018/
SLO Electricity 2018,Litexpo,Vilnius,2018-05-11,https://www.litexpo.lt/en/events/slo-electricity-2018/
AUTO BAZAR 2018,Litexpo,Vilnius,2018-05-18,https://www.litexpo.lt/en/events/auto-bazar-2018/
#SWITCH!,Litexpo,Vilnius,2018-09-20,https://www.litexpo.lt/en/events/switch/
BIM and Beyond. Baltic Tour 2018,Litexpo,Vilnius,2018-09-21,https://www.litexpo.lt/en/events/bim-and-beyond-baltic-tour-2018/
The Grand Christmas fair of Vilnius 2018,Litexpo,Vilnius,2018-12-08,https://www.litexpo.lt/en/events/the-grand-christmas-fair-of-vilnius/
ROBOTIADA 2019,Litexpo,Vilnius,2019-03-23,https://www.litexpo.lt/en/events/robotiada-2019/
Inspiring women conference “Dare to Begin. One step ahead”,Litexpo,Vilnius,2019-03-30,https://www.litexpo.lt/en/events/inspiring-women-conference-dare-to-begin-one-step-ahead/
SMART MOM 2019,Litexpo,Vilnius,2019-05-11,https://www.litexpo.lt/en/events/smart-mom-2019/
Mono Slalomas #1 by TR,Litexpo,Vilnius,2019-07-06,https://www.litexpo.lt/en/events/mono-slalomas-1-by-tr/
Išteku.lt Wedding Fashion Show,Litexpo,Vilnius,2019-10-18,https://www.litexpo.lt/en/events/isteku-lt-wedding-fashion-show/
Wedding Fair Isteku.lt,Litexpo,Vilnius,2019-10-19,https://www.litexpo.lt/en/events/wedding-fair-isteku-lt/
Sustainable Development Conference SIGNALS 2019 “LET’S SEE. LET’S CHANGE”,Litexpo,Vilnius,2019-11-27,https://www.litexpo.lt/en/events/sustainable-development-conference-signals-2019-lets-see-lets-change/
LiMA DAY LIETUVA’19: Praeitis. Dabartis. Ateitis,Litexpo,Vilnius,2019-12-28,https://www.litexpo.lt/en/events/lima-day-lietuva19-praeitis-dabartis-ateitis/
Jazzu,Litexpo,Vilnius,2019-12-31,https://www.litexpo.lt/en/events/jazzu/
International Electrical Engineering Exhibition “SLO Electricity 2020”,Litexpo,Vilnius,2020-02-27,https://www.litexpo.lt/en/events/international-electrical-engineering-exhibition-slo-electricity-2020/
MOTERS VIZIJA 2020,Litexpo,Vilnius,2020-03-08,https://www.litexpo.lt/en/events/moters-vizija-2020/
A motivational conference for success GET INSPIRED 2020,Litexpo,Vilnius,2020-08-29,https://www.litexpo.lt/en/events/a-motivational-conference-for-success-get-inspired-2020/
Beactive night – Zumba party,Litexpo,Vilnius,2020-09-26,https://www.litexpo.lt/en/events/beactive-night-zumba-party/
Storyselling conference | RETURN ON STORIES ’21,Litexpo,Vilnius,2021-06-18,https://www.litexpo.lt/en/events/storyselling-conference-return-on-stories-21/
AŠ SODINU 2021,Litexpo,Vilnius,2021-09-11,https://www.litexpo.lt/en/events/as-sodinu-2021/
MAKING INDUSTRY 4.0 REAL,Litexpo,Vilnius,2021-09-23,https://www.litexpo.lt/en/events/making-industry-4-0-real/
Beissoul & Einius: Electrofashion 10,Litexpo,Vilnius,2021-12-30,https://www.litexpo.lt/en/events/beissoul-einius-electrofashion-10/
JAZZU,Litexpo,Vilnius,2021-12-31,https://www.litexpo.lt/en/events/jazzu_en/
SCHOOL 2022,Litexpo,Vilnius,2022-03-30,https://www.litexpo.lt/en/events/school-2021/
SCHOOL 2022,Litexpo,Vilnius,2022-03-31,https://www.litexpo.lt/en/events/school-2021/
MOTIVATED AT WORK 2022,Litexpo,Vilnius,2022-05-17,https://www.litexpo.lt/en/events/motivated-at-work-2022/
MOTIVATED AT WORK 2023,Litexpo,Vilnius,2022-05-17,https://www.litexpo.lt/en/events/motivated-at-work-2023/
NEET – IDEA FILM FESTIVAL,Litexpo,Vilnius,2022-07-14,https://www.litexpo.lt/en/events/neet-idea-film-festival/
AHK Oktoberfest Vilnius,Litexpo,Vilnius,2022-09-17,https://www.litexpo.lt/en/events/ahk-oktoberfest-vilnius/
ECOMEXPO’22,Litexpo,Vilnius,2022-09-29,https://www.litexpo.lt/en/events/ecomexpo22/
ARTVILNIUS’22,Litexpo,Vilnius,2022-10-07,https://www.litexpo.lt/en/events/artvilnius22/
ARTVILNIUS’22,Litexpo,Vilnius,2022-10-08,https://www.litexpo.lt/en/events/artvilnius22/
ARTVILNIUS’22,Litexpo,Vilnius,2022-10-09,https://www.litexpo.lt/en/events/artvilnius22/
Christmas is back: eXpo 2021,Litexpo,Vilnius,2022-12-11,https://www.litexpo.lt/en/events/christmas-is-back-expo-2021/
GARDEN STYLE,Litexpo,Vilnius,2023-08-26,https://www.litexpo.lt/en/events/garden-style/
I want to change career. AGAIN.,Litexpo,Vilnius,2023-09-10,https://www.litexpo.lt/en/events/i-want-to-change-career-again/
LIFE SCIENCES BALTICS,Litexpo,Vilnius,2023-09-20,https://www.litexpo.lt/en/events/19806/
LIFE SCIENCES BALTICS,Litexpo,Vilnius,2023-09-21,https://www.litexpo.lt/en/events/19806/
TECH MUGĖ 2023,Litexpo,Vilnius,2023-09-23,https://www.litexpo.lt/en/events/tech-muge-2023/
Baltic E-commerce Conference & Expo,Litexpo,Vilnius,2023-10-05,https://www.litexpo.lt/en/events/baltic-e-commerce-conference-expo/
Agile Tour Vilnius 2023,Litexpo,Vilnius,2023-10-17,https://www.litexpo.lt/en/events/agile-tour-vilnius-2023/
BALTIC DAYS OF DENTISTRY 2023,Litexpo,Vilnius,2023-10-27,https://www.litexpo.lt/en/events/baltic-days-of-dentistry-2023/
BALTIC DAYS OF DENTISTRY 2023,Litexpo,Vilnius,2023-10-28,https://www.litexpo.lt/en/events/baltic-days-of-dentistry-2023/
EVENTO  2023,Litexpo,Vilnius,2023-11-17,https://www.litexpo.lt/en/events/evento-2023/
EVENTO  2023,Litexpo,Vilnius,2023-11-18,https://www.litexpo.lt/en/events/evento-2023/
SUSTAINABLE PERSPECTIVE 2023,Litexpo,Vilnius,2023-11-23,https://www.litexpo.lt/en/events/sustainable-perspective-2023/
SUSTAINABLE PERSPECTIVE 2023,Litexpo,Vilnius,2023-11-24,https://www.litexpo.lt/en/events/sustainable-perspective-2023/
SUSTAINABLE PERSPECTIVE 2023,Litexpo,Vilnius,2023-11-25,https://www.litexpo.lt/en/events/sustainable-perspective-2023/
EU+U CONFERENCE,Litexpo,Vilnius,2023-11-28,https://www.litexpo.lt/en/events/euu-conference/
LiMA DAY LITHUANIA’23: MUTATIONS,Litexpo,Vilnius,2023-11-29,https://www.litexpo.lt/en/events/lima-day-lithuania23-mutations/
SELLERS’ CLUB SEMINAR – “THE FUTURE OF SALES 2024: HOW TO SELL MORE?”,Litexpo,Vilnius,2024-02-15,https://www.litexpo.lt/en/events/sellers-club-seminar-the-future-of-sales-2024-how-to-sell-more/
Conference ConnectIn,Litexpo,Vilnius,2024-03-20,https://www.litexpo.lt/en/events/conference-connectin/
Pardavėjų klubo seminaras – “NEGOTIATING POWER IN SALES: HOW TO EARN MORE PROFIT?”,Litexpo,Vilnius,2024-04-04,https://www.litexpo.lt/en/events/negotiating-power-in-sales/
MOTIVATED AT WORK 2024,Litexpo,Vilnius,2024-05-15,https://www.litexpo.lt/en/events/motivated-at-work-2024/
The Automotive Forum,Litexpo,Vilnius,2024-05-16,https://www.litexpo.lt/en/events/the-automotive-forum/
SALES GENIUS: EMPATHY AND EMOTIONAL INTELLECT IN SALES,Litexpo,Vilnius,2024-06-05,https://www.litexpo.lt/en/events/sales-genius-empathy-and-emotional-intellect-in-sales/
ESET Security Day 2024,Litexpo,Vilnius,2024-09-05,https://www.litexpo.lt/en/events/eset-security-day-2024/
Gurtam DevConf,Litexpo,Vilnius,2024-09-10,https://www.litexpo.lt/en/events/gurtamdevconf/
ECOMEXPOʼ24,Litexpo,Vilnius,2024-09-19,https://www.litexpo.lt/en/events/ecomexpo%ca%bc24/
AŠ SODINU 2024,Litexpo,Vilnius,2024-09-22,https://www.litexpo.lt/en/events/as-sodinu-2024/
ArtVilnius’24,Litexpo,Vilnius,2024-10-04,https://www.litexpo.lt/en/events/artvilnius24/
ArtVilnius’24,Litexpo,Vilnius,2024-10-05,https://www.litexpo.lt/en/events/artvilnius24/
ArtVilnius’24,Litexpo,Vilnius,2024-10-06,https://www.litexpo.lt/en/events/artvilnius24/
TRANSPORT INNOVATION FORUM,Litexpo,Vilnius,2024-10-09,https://www.litexpo.lt/en/events/transport-innovation-forum/
TRANSPORT INNOVATION FORUM,Litexpo,Vilnius,2024-10-10,https://www.litexpo.lt/en/events/transport-innovation-forum/
BORIS BREJCHA exclusive show,Litexpo,Vilnius,2024-11-08,https://www.litexpo.lt/en/events/boris-brejcha-exclusive-show/
AzaryahSummit 2024: Education and Careers Forum,Litexpo,Vilnius,2024-11-11,https://www.litexpo.lt/en/events/azaryahsummit-2024-education-and-careers-forum/
TASTE VILNIUS HORECA 2024,Litexpo,Vilnius,2024-11-14,https://www.litexpo.lt/en/events/taste-vilnius-horeca-2024/
TASTE VILNIUS HORECA 2024,Litexpo,Vilnius,2024-11-15,https://www.litexpo.lt/en/events/taste-vilnius-horeca-2024/
TASTE VILNIUS HORECA 2024,Litexpo,Vilnius,2024-11-16,https://www.litexpo.lt/en/events/taste-vilnius-horeca-2024/
LiMA DAY LITHUANIA’24: THE GROWTH,Litexpo,Vilnius,2024-11-21,https://www.litexpo.lt/en/events/lima-day-lithuania24/
EROS 2024,Litexpo,Vilnius,2024-11-22,https://www.litexpo.lt/en/events/eros-2024-2/
EROS 2024,Litexpo,Vilnius,2024-11-23,https://www.litexpo.lt/en/events/eros-2024-2/
Job fair „Turime tau darbą!“,Litexpo,Vilnius,2024-11-23,https://www.litexpo.lt/en/events/job-fair-turime-tau-darba/
The final event of the “Save the Baltic” expedition,Litexpo,Vilnius,2024-12-06,https://www.litexpo.lt/en/events/the-final-event-of-the-save-the-baltic-expedition/
ADVENTUR 2025,Litexpo,Vilnius,2025-01-24,https://www.litexpo.lt/en/events/adventur-2025/
ADVENTUR 2025,Litexpo,Vilnius,2025-01-25,https://www.litexpo.lt/en/events/adventur-2025/
ADVENTUR 2025,Litexpo,Vilnius,2025-01-26,https://www.litexpo.lt/en/events/adventur-2025/
Amber Trip 2025,Litexpo,Vilnius,2025-02-13,https://www.litexpo.lt/en/events/amber-trip-2025/
Amber Trip 2025,Litexpo,Vilnius,2025-02-14,https://www.litexpo.lt/en/events/amber-trip-2025/
Amber Trip 2025,Litexpo,Vilnius,2025-02-15,https://www.litexpo.lt/en/events/amber-trip-2025/
VILNIUS BOOK FAIR 2025,Litexpo,Vilnius,2025-02-27,https://www.litexpo.lt/en/events/vilnius-book-fair-2025/
VILNIUS BOOK FAIR 2025,Litexpo,Vilnius,2025-02-28,https://www.litexpo.lt/en/events/vilnius-book-fair-2025/
VILNIUS BOOK FAIR 2025,Litexpo,Vilnius,2025-03-01,https://www.litexpo.lt/en/events/vilnius-book-fair-2025/
VILNIUS BOOK FAIR 2025,Litexpo,Vilnius,2025-03-02,https://www.litexpo.lt/en/events/vilnius-book-fair-2025/
HELSO ELECTRICITY,Litexpo,Vilnius,2025-03-21,https://www.litexpo.lt/en/events/helso-electricity-2/
CAREER & STUDIES 2025,Litexpo,Vilnius,2025-03-27,https://www.litexpo.lt/en/events/career-studies-2025/
CAREER & STUDIES 2025,Litexpo,Vilnius,2025-03-28,https://www.litexpo.lt/en/events/career-studies-2025/
VILNIUS AUTO SHOW 2025,Litexpo,Vilnius,2025-04-04,https://www.litexpo.lt/en/events/vilnius-auto-show-2025/
VILNIUS AUTO SHOW 2025,Litexpo,Vilnius,2025-04-05,https://www.litexpo.lt/en/events/vilnius-auto-show-2025/
RESTA 2025,Litexpo,Vilnius,2025-04-24,https://www.litexpo.lt/en/events/resta-2025/
RESTA 2025,Litexpo,Vilnius,2025-04-25,https://www.litexpo.lt/en/events/resta-2025/
RESTA 2025,Litexpo,Vilnius,2025-04-26,https://www.litexpo.lt/en/events/resta-2025/
Plant fair „Aš sodinu“,Litexpo,Vilnius,2025-04-27,https://www.litexpo.lt/en/events/sodinuku-muge-as-sodinu-2/
Gravity Opεra,Litexpo,Vilnius,2025-05-02,https://www.litexpo.lt/en/events/gravity-op%ce%b5ra/
Vyno dienos 2025,Litexpo,Vilnius,2025-05-09,https://www.litexpo.lt/en/events/vyno-dienos-2025/
Vyno dienos 2025,Litexpo,Vilnius,2025-05-10,https://www.litexpo.lt/en/events/vyno-dienos-2025/
BALTTECHNIKA 2025,Litexpo,Vilnius,2025-05-14,https://www.litexpo.lt/en/events/balttechnika/
MOTIVATED @ WORK 2025,Litexpo,Vilnius,2025-05-14,https://www.litexpo.lt/en/events/motivated-work-2025/
BALTTECHNIKA 2025,Litexpo,Vilnius,2025-05-15,https://www.litexpo.lt/en/events/balttechnika/
BALTTECHNIKA 2025,Litexpo,Vilnius,2025-05-16,https://www.litexpo.lt/en/events/balttechnika/
Comic Con Baltics 2025 sponsored by Samsung,Litexpo,Vilnius,2025-05-23,https://www.litexpo.lt/en/events/comic-con-baltics-2025-2/
Comic Con Baltics 2025 sponsored by Samsung,Litexpo,Vilnius,2025-05-24,https://www.litexpo.lt/en/events/comic-con-baltics-2025-2/
Comic Con Baltics 2025 sponsored by Samsung,Litexpo,Vilnius,2025-05-25,https://www.litexpo.lt/en/events/comic-con-baltics-2025-2/
LOGIN 2025,Litexpo,Vilnius,2025-05-29,https://www.litexpo.lt/en/events/login-2025/
LOGIN 2025,Litexpo,Vilnius,2025-05-30,https://www.litexpo.lt/en/events/login-2025/
An Evening of Meditation and Music with Gurudev Sri Sri Ravi Shankar,Litexpo,Vilnius,2025-07-29,https://www.litexpo.lt/en/events/an-evening-of-meditation-and-music-with-gurudev-sri-sri-ravi-shankar/
Landscape design conference GARDEN STYLE,Litexpo,Vilnius,2025-08-23,https://www.litexpo.lt/en/events/landscape-design-conference-garden-style/
ESET Security Day 2025,Litexpo,Vilnius,2025-09-04,https://www.litexpo.lt/en/events/eset-security-day-2025/
HR Week Lithuania,Litexpo,Vilnius,2025-09-11,https://www.litexpo.lt/en/events/hr-week-lithuania-2/
HR Week Lithuania,Litexpo,Vilnius,2025-09-12,https://www.litexpo.lt/en/events/hr-week-lithuania-2/
BalticNOG 2025,Litexpo,Vilnius,2025-09-24,https://www.litexpo.lt/en/events/balticnog-2025/
BalticNOG 2025,Litexpo,Vilnius,2025-09-25,https://www.litexpo.lt/en/events/balticnog-2025/
ARCHzona 2025,Litexpo,Vilnius,2025-10-03,https://www.litexpo.lt/en/events/archzona-2025/
ART VILNIUS’25,Litexpo,Vilnius,2025-10-03,https://www.litexpo.lt/en/events/art-vilnius25/
ARCHzona 2025,Litexpo,Vilnius,2025-10-04,https://www.litexpo.lt/en/events/archzona-2025/
ART VILNIUS’25,Litexpo,Vilnius,2025-10-04,https://www.litexpo.lt/en/events/art-vilnius25/
ART VILNIUS’25,Litexpo,Vilnius,2025-10-05,https://www.litexpo.lt/en/events/art-vilnius25/
Startup Fair 2025,Litexpo,Vilnius,2025-10-09,https://www.litexpo.lt/en/events/startup-fair-2025/
Ecomexpo’25,Litexpo,Vilnius,2025-10-10,https://www.litexpo.lt/en/events/ecomexpo25/
TRANSPORT INNOVATION FORUM 2025,Litexpo,Vilnius,2025-10-15,https://www.litexpo.lt/en/events/transport-innovation-forum-2025/
TRANSPORT INNOVATION FORUM 2025,Litexpo,Vilnius,2025-10-16,https://www.litexpo.lt/en/events/transport-innovation-forum-2025/
BALTIC DAYS OF DENTISTRY 2025,Litexpo,Vilnius,2025-10-17,https://www.litexpo.lt/en/events/baltic-days-of-dentistry-2025/
BALTIC DAYS OF DENTISTRY 2025,Litexpo,Vilnius,2025-10-18,https://www.litexpo.lt/en/events/baltic-days-of-dentistry-2025/
